L1,L2,L3,V6_Account_Count,V7_Account_Count,V7_Pct_of_Total,Pct_of_Total,description,examples,disambiguation_notes
Manufacturing & Distribution,Building Materials Manufacturing,Building Materials & Components,51,89,1.9%,1.3%,"Manufactures building and construction materials, prefab structures, and architectural products","Concrete products, lumber processing, roofing materials mfg, insulation, glass, prefab sheds/barns/gazebos/carports, dock systems, fabric/membrane structures","Manufacturing of materials and prefab structures. Distribution of materials → Building Materials Distribution. V7: Absorbs ~17 accounts from dissolved Manufacturing & Installation (outdoor structures, glass/stone fabrication, industrial flooring)."
Manufacturing & Distribution,Building Materials Manufacturing,Packaging & Containers,27,32,0.7%,0.7%,"Manufactures packaging materials, containers, boxes","Corrugated boxes, plastic containers, glass bottles, pallets, crating",Focus on packaging as a product. Shipping/logistics services → Transportation & Logistics
Manufacturing & Distribution,General Wholesale & Distribution,General Wholesale & Distribution,62,73,1.5%,1.6%,General or mixed wholesale/distribution not fitting specific categories,"Multi-line distributors, general merchandise wholesalers, mixed product distributors",Catch-all for distribution. Use specific distribution L3 when product focus is clear
Manufacturing & Distribution,Industrial & Equipment Distribution,Industrial Equipment & Machinery Distribution,103,137,2.9%,2.6%,"Distributes industrial equipment, machinery, heavy equipment parts","Construction equipment parts, pressure washers, shipping containers, welding supplies",Distributes but does not manufacture. If also services/repairs → classify by primary revenue
Manufacturing & Distribution,Industrial & Equipment Distribution,Industrial & Commercial Supplies,55,70,1.5%,1.4%,Distributes industrial and commercial supplies including chemicals,"Mining supplies, lab supplies, cleaning product wholesale, safety/PPE distribution, abrasives, industrial chemicals",B2B supply distribution. If B2C retail → Retail & Consumer. Chemical manufacturer → Chemical & Process Manufacturing
Manufacturing & Distribution,Food & Beverage Distribution,Food & Beverage Distribution,47,56,1.2%,1.2%,Distributes food or beverage products to retailers/restaurants,"Food service distributors, beverage wholesalers, specialty food importers",Wholesale/distribution to businesses. Restaurants/cafes/retailers selling to consumers → Retail & Consumer > Food & Beverage Retail
Manufacturing & Distribution,Medical & Pharmaceutical Distribution,Medical & Pharmaceutical Distribution,41,50,1.0%,1.0%,"Distributes medical supplies, devices, or pharmaceutical products","Medical supply companies, dental supply distributors, pharmaceutical distributors",Distribution only. If manufactures → Medical & Life Sciences Manufacturing
Manufacturing & Distribution,Electronics & Technology Distribution,Electronics & Technology Distribution,51,64,1.3%,1.3%,"Distributes electronics, technology products, or components","Computer parts distributors, AV equipment distributors, telecom equipment wholesale, two-way radio resellers",PROMOTED to own L2 in V7 (was under Specialty Distribution). Distribution of tech products. IT services/consulting → PBS. If B2C retail (storefront/ecommerce) → Retail & Consumer
Manufacturing & Distribution,Building Materials Distribution,Building Materials & Construction Supply,56,71,1.5%,1.4%,Distributes building and construction materials,"Lumber yards, plumbing supply houses, electrical supply distributors, hardware wholesale",PROMOTED to own L2 in V7 (was under Specialty Distribution). Supply/distribution of construction materials. Manufacturing → Building Materials & Components
Manufacturing & Distribution,Specialty Distribution,Automotive Parts Distribution,19,18,0.4%,0.5%,Distributes automotive parts and accessories,"Auto parts wholesalers, aftermarket parts distributors, tire distributors",Parts distribution. Repair shops/service centers → Retail & Consumer > Automotive Services & Retail
Manufacturing & Distribution,Specialty Distribution,Consumer Goods Distribution,48,59,1.2%,1.2%,"Distributes consumer goods, lifestyle products","Cosmetics distributors, sports merchandise wholesale, fashion wholesale, CBD wholesale",B2B distribution of consumer products. Direct B2C retail → Retail & Consumer
Manufacturing & Distribution,Specialty Distribution,Transportation & Logistics,31,29,0.6%,0.8%,Goods/freight movement businesses that are part of the product supply chain,"Freight brokers, trucking companies hauling goods, 3PL warehousing, fulfillment centers, logistics providers",ONLY for goods/freight movement. Moving/relocation companies → S&T > Moving & Relocation. Towing/rigging/heavy equipment moving → S&T > Moving & Relocation. Passenger transit → flag edge case. Jet charter → flag edge case. Truck parking → PBS > Real Estate & Property.
Field Services & Trades,General Contracting,General Contracting,56,74,1.5%,1.4%,"General contractors, builders, construction managers","Home builders, commercial GC, design-build firms, construction management",Manages full construction projects. Specialty subs → Specialty Construction or specific trade
Field Services & Trades,Specialty Construction,Roofing,18,25,0.5%,0.5%,Roofing installation and repair contractors,"Residential roofers, commercial roofing, roof repair, gutter installation",Install-focused. If manufactures roofing materials → MWD > Building Materials
Field Services & Trades,Specialty Construction,Concrete & Masonry,16,27,0.6%,0.4%,"Concrete, masonry, and stonework contractors","Concrete contractors, brick masons, stonework, foundations, decorative concrete",On-site construction work
Field Services & Trades,Specialty Construction,Excavation & Earthwork,10,13,0.3%,0.3%,"Excavation, grading, demolition, earthwork, drainage, and septic system installation","Excavation, grading, demolition, land clearing, trenching, site preparation, drainage installation, septic installation",Heavy equipment site work. Includes drainage and septic INSTALLATION (construction). Septic pumping/maintenance (ongoing service) → Home & Property Services > Repair & Maintenance. NOT HVAC/Plumbing.
Field Services & Trades,Specialty Construction,Other Specialty Construction,53,86,1.8%,1.4%,Other specialty construction trades not listed separately,"Structural steel erection, insulation installers, waterproofing, fencing contractors, glass installers, paving, pool construction",Use only when no other specific construction L3 fits
Field Services & Trades,Flooring & Interior Finishing,Flooring & Interior Finishing,48,64,1.3%,1.2%,"Installs flooring, countertops, tile, and interior finishes (does not manufacture)","Flooring installers, tile setters, countertop installers, drywall/painting",Install-only. If manufactures flooring/countertops → MWD > Building Materials & Components. If manufactures AND installs cabinetry/millwork → MWD > Furniture & Fixtures (tag as business_model:make_and_install).
Field Services & Trades,"HVAC, Plumbing & Electrical",HVAC Services,40,50,1.0%,1.0%,"HVAC installation, repair, and maintenance","Heating contractors, AC repair, HVAC installation, ductwork",If sells equipment too → still Services & Trades (service is primary)
Field Services & Trades,"HVAC, Plumbing & Electrical",Plumbing Services,31,37,0.8%,0.8%,"Plumbing installation, repair, and maintenance (pipes, fixtures, water heaters)","Plumbers, pipe fitting, drain cleaning, water heater installation",Service-focused plumbing contractors. Excavation/drainage/septic installation → Specialty Construction > Excavation & Earthwork. Septic pumping → Home & Property Services
Field Services & Trades,"HVAC, Plumbing & Electrical",Electrical Services,33,50,1.0%,0.8%,"Electrical installation, repair, and maintenance","Electricians, electrical contractors, wiring, panel upgrades, lighting installation",If manufactures electrical components → MWD > Electronics & Technology Manufacturing
Field Services & Trades,Landscaping & Outdoor Services,Landscaping & Lawn Care,77,95,2.0%,2.0%,"Lawn care, landscaping, tree services, and outdoor maintenance","Lawn maintenance, landscape design, tree trimming, irrigation, hardscaping",On-site outdoor services. Nurseries/garden centers selling plants → Retail & Consumer
Field Services & Trades,Landscaping & Outdoor Services,Pool & Spa Services,23,29,0.6%,0.6%,"Pool and spa construction, maintenance, and repair","Pool cleaning, pool construction, spa repair, hot tub installation",On-site pool/spa work. Pool surface coatings/resurfacing → Home & Property Services > Painting & Surface Coating
Field Services & Trades,Cleaning & Environmental Services,Cleaning Services,38,62,1.3%,1.0%,Commercial and residential cleaning services,"Janitorial, maid services, carpet cleaning, pressure washing, window cleaning",Service-based cleaning. If manufactures cleaning products → MWD
Field Services & Trades,Cleaning & Environmental Services,Environmental Services,18,24,0.5%,0.5%,"Environmental remediation, testing, and compliance services","Asbestos removal, mold remediation, environmental testing, hazmat cleanup",Environmental field work. Environmental consulting (office-based) → PBS > Architectural & Engineering Services
Field Services & Trades,Cleaning & Environmental Services,Recycling & Waste Management,25,34,0.7%,0.6%,"Recycling, waste hauling, and waste management services","Recycling centers, waste haulers, junk removal, document shredding",Active waste handling services
Field Services & Trades,"Security, Fire & Alarm Systems",Security & Alarm Systems,43,52,1.1%,1.1%,Installs and services security and alarm systems,"Alarm installation, CCTV installation, access control, security monitoring","Installs/services systems. If manufactures security equipment → MWD > Safety & Security Equipment. NOT Home Watch (which is property monitoring, not system installation)"
Field Services & Trades,"Security, Fire & Alarm Systems",Fire & Safety Systems,19,24,0.5%,0.5%,Installs and services fire protection and suppression systems,"Fire alarm installation, sprinkler systems, fire extinguisher service, fire protection",Install/service focus. Fire equipment manufacturing → MWD
Field Services & Trades,Home Watch,Home Watch Services,169,193,4.0%,4.3%,"Home watch, property monitoring, and property check services for absentee owners","Home watch companies, seasonal property monitoring, vacant home checks, snowbird services",Distinct from property management (office/admin → PBS) and security system installation (→ Security & Alarm). Name override: 'home watch' or 'homewatch' in account name → classify here at 0.90 confidence
Field Services & Trades,Home & Property Services,Painting & Surface Coating,0,25,0.5%,0.0%,"Painting contractors, surface treatment, coatings, and refinishing for residential and light commercial","Residential painters, commercial painters, wallpapering, decorative finishes, pool resurfacing, cabinet refinishing","V7: Moved from Other Field Services to Home & Property Services. On-site painting and coating work. Industrial coatings at scale → MWD. Pool surface coatings → here (surface application, not pool construction)"
Field Services & Trades,Home & Property Services,Pest Control,8,8,0.2%,0.2%,"Pest control, extermination, and wildlife removal for residential and light commercial","Exterminators, termite control, wildlife removal, mosquito control, rodent control",V7: Moved from Other Field Services to Home & Property Services. On-site pest/wildlife services
Field Services & Trades,Home & Property Services,Residential Repair & Maintenance,0,41,0.9%,0.0%,"On-site residential repair, maintenance, and restoration services","Appliance repair, handyman services, home restoration, sealcoating (residential), property maintenance","V7: Split from Repair & Maintenance Services (82). Residential on-site repair/maintenance. Industrial/commercial equipment maintenance → Industrial & Commercial Field Services. Includes repair shops where customer brings item in, UNLESS automotive (→ Automotive Services & Retail)."
Field Services & Trades,Home & Property Services,Other Home Services,0,29,0.6%,0.0%,Other residential field services not fitting specific categories,"Christmas light installation, stairlift installation, concierge home services, chimney sweep, gutter cleaning",V7: Catch-all for residential field services. Use ONLY when no other Home & Property Services L3 fits
Field Services & Trades,Industrial & Commercial Field Services,Welding & Fabrication Services,0,3,0.1%,0.0%,"On-site welding, mobile fabrication, field welding/repair services","Mobile welders, on-site fabrication, marine welding services, pipeline welding, structural field welding",V7 NEW. Must be field/on-site work. Shop-based fabrication → MWD > Metal Fabrication & Structural. If makes metal products in shop → MWD (tag as business_model:make_and_install if they also do on-site work).
Field Services & Trades,Industrial & Commercial Field Services,Specialty Inspection & Compliance,23,18,0.4%,0.6%,"Inspections, surveying, compliance field work, and specialty technical audits","Home inspectors, land surveyors, environmental inspectors, code compliance, compressed air audits, leak detection",V7: Moved from Other Field Services. On-site inspection/measurement/audit work
Field Services & Trades,Industrial & Commercial Field Services,Moving & Relocation,0,13,0.3%,0.0%,"Moving, rigging, and relocation services","Residential movers, commercial movers, heavy equipment rigging, senior move management, industrial relocation",Physically moves items/equipment. Freight/trucking companies → MWD > Transportation & Logistics
Field Services & Trades,Industrial & Commercial Field Services,Water Services & Well Drilling,0,16,0.3%,0.0%,"Water well drilling, water treatment, water softening, and water management","Well drillers, water treatment installers, water softener companies, water testing services",On-site water services. Plumbing (pipes/fixtures) → Plumbing Services. Environmental testing → Environmental Services
Field Services & Trades,Industrial & Commercial Field Services,Commercial Repair & Maintenance,0,90,1.9%,0.0%,"On-site commercial and industrial equipment repair, maintenance, and restoration","Industrial equipment maintenance, elevator maintenance, commercial property restoration, asphalt repair (commercial)",V7: Split from Repair & Maintenance Services (82). Commercial/industrial on-site repair. Residential → Home & Property Services. Marine/boat repair → here (commercial equipment). Dental/medical equipment repair → here.
Field Services & Trades,Industrial & Commercial Field Services,Other Commercial Field Services,0,39,0.8%,0.0%,Other commercial/industrial field services not fitting specific categories,"Oilfield services, industrial cleaning, specialty equipment services",V7: Catch-all for commercial field services. Use ONLY when no other Industrial & Commercial Field Services L3 fits. Includes low-voltage/cabling installers (on-site work).
Professional & Business Services,Strategy & Consulting,Strategy & Management Consulting,87,86,1.8%,2.2%,"Management, strategy, operations, and general business consulting","Management consulting, strategy firms, operations consulting, franchise consulting, compliance consulting, compressed air system consulting",ONLY for firms whose primary service is advising on business strategy/operations. NOT a catch-all. Accounting → Accounting & Bookkeeping. QB implementation → IT Consulting. Coaching → Coaching & Training.
Professional & Business Services,Real Estate & Property,Property Management,10,17,0.4%,0.3%,Manages properties on behalf of owners — admin/office function,"Property management companies, HOA management, rental management, commercial property management",Administrative property management. Home Watch (physical checks) → Services & Trades > Home Watch Services
Professional & Business Services,Real Estate & Property,Real Estate Brokerage & Sales,5,5,0.1%,0.1%,"Facilitates buying, selling, or leasing property as agent/broker","Real estate agencies, realtors, commercial brokers, real estate sales offices",DISTINCT from Property Management. Brokers facilitate transactions; property managers handle ongoing operations for owners.
Professional & Business Services,Accounting & Bookkeeping,Tax Preparation & CPA Services,92,101,2.1%,2.4%,"CPA firms, tax preparers, and seasonal tax filing services","CPA firms, tax preparers, enrolled agents, seasonal tax offices, IRS representation",Highly seasonal (Q1/Q2 peak). If the firm primarily does ongoing bookkeeping year-round → Bookkeeping & Payroll Services.
Professional & Business Services,Accounting & Bookkeeping,Bookkeeping & Payroll Services,224,225,4.7%,5.7%,"Ongoing bookkeeping, payroll processing, and financial record maintenance","Bookkeepers, payroll services, QuickBooks bookkeeping consultants who do the books, accounts receivable/payable services","Recurring, year-round transactional work. QB test: Does the client send this firm their books to be done? → here. Does the client hire them to set up/teach QB? → IT Consulting."
Professional & Business Services,Accounting & Bookkeeping,Fractional CFO & Advisory,33,42,0.9%,0.8%,"Strategic financial advisory, fractional CFO services, and financial planning for businesses","Fractional CFOs, financial advisors to businesses, virtual CFO services, financial strategy consulting","High-margin, low-volume strategic work. Distinct from Bookkeeping (transactional) and Tax Prep (compliance)."
Professional & Business Services,IT Services & Technology,Managed IT Services (MSP),55,61,1.3%,1.4%,"Managed service providers offering subscription-based IT support, helpdesk, and infrastructure management","Managed service providers, outsourced IT departments, remote monitoring, helpdesk, network management, cybersecurity-as-a-service",Subscription/recurring revenue model. Takes operational ownership of client IT. If project-based → IT Consulting & Implementation.
Professional & Business Services,IT Services & Technology,IT Consulting & Implementation,139,165,3.4%,3.6%,"Project-based IT consulting, software implementation, ERP migration, and technology advisory","QuickBooks implementation consultants, ERP consultants, cloud migration services, IT strategy advisors, cybersecurity consultants (project-based)",Project/SOW-based revenue model. QB test: Does the client hire them to set up/teach QB? → here. Does the client send them their books? → Accounting. If building/selling own software → Software & SaaS.
Professional & Business Services,IT Services & Technology,Data & Analytics Services,11,10,0.2%,0.3%,"Data analytics, BI, reporting, and data management services","Data analytics firms, BI consultants, dashboard builders, data scientists",Data/analytics as primary service offering
Professional & Business Services,IT Services & Technology,Telecommunications,22,30,0.6%,0.6%,"Telecom services, internet providers, VoIP, cloud communications","Phone system providers, ISPs, VoIP companies, cloud communications providers, telecom consultants",Service providers. Telecom equipment manufacturing → MWD. Cabling/low-voltage installers (on-site work) → S&T > Industrial & Commercial Field Services
Professional & Business Services,Software & SaaS,Software & SaaS,109,103,2.1%,2.8%,"Develops or sells software products, SaaS platforms, apps","Software companies, SaaS providers, app developers, custom software shops, digital platforms",PROMOTED to own L2 in V7 (was under IT Services & Technology). Builds/sells software. IT consulting (advises on others' software) → IT Services & Technology. Digital news/media platforms → Media & Publishing
Professional & Business Services,Legal Services,Legal Services,13,12,0.3%,0.3%,"Law firms, legal consultants, and legal service providers","Law firms, paralegals, legal consultants, compliance advisors, notaries",Legal-focused professional services
Professional & Business Services,Architectural & Engineering,Architectural & Engineering Services,36,48,1.0%,0.9%,"Architecture firms, engineering consultants, specialized technical consulting","Architects, civil engineers, structural engineers, environmental engineers, renewable energy consultants",Design/engineering professional services. If primarily on-site construction → Services & Trades
Professional & Business Services,Marketing & Creative Services,Marketing & Advertising,35,45,0.9%,0.9%,"Marketing agencies, advertising firms, and marketing consultants","Marketing agencies, SEO firms, digital marketing, ad agencies, PR firms",Strategy/campaign focused. Creative production → Creative & Production Services
Professional & Business Services,Marketing & Creative Services,Creative & Production Services,37,41,0.9%,0.9%,"Creative design, media production, and content services","Graphic design, video production, photography, content agencies, web design studios",Creates creative assets. Printing as manufacturing → see Printing & Graphics
Professional & Business Services,Marketing & Creative Services,Media & Publishing,24,26,0.5%,0.6%,"News organizations, publishers, digital media, editorial services, digital news platforms","Newspapers, magazines, book publishers, digital news sites, podcast networks, editorial services, news apps","Publishing/editorial focus including digital media platforms. News organizations, digital news outlets/apps → HERE, NOT Marketing & Creative Services. Marketing agencies → Marketing & Advertising."
Professional & Business Services,Marketing & Creative Services,Printing & Graphics,27,78,1.6%,0.7%,"Print shops, signage, graphic reproduction, custom embroidery and branded merchandise","Print shops, sign shops, screen printing, large format printing, promotional products, trophy/engraving shops, custom embroidery on workwear","Commercial printing, signage, and branded merchandise services. Custom embroidery/printing on workwear → here (production service, not marketing). Sign manufacturers who also install → MWD, classify by what they make. Trophy/engraving shops → here."
Professional & Business Services,Healthcare & Medical Services,Healthcare & Medical Services,39,49,1.0%,1.0%,"Medical practices, clinics, and healthcare service providers","Medical practices, dental offices, chiropractic, physical therapy, veterinary clinics, home health",Provides care/treatment. Medical device mfg → MWD. Medical supply distribution → MWD
Professional & Business Services,Education & Training,Education & Research,64,70,1.5%,1.6%,"Schools, training providers, tutoring, research institutions, and educational organizations","Schools, tutoring services, trade schools, child care centers, driving schools, research labs, think tanks, IT certification courses, STEM enrichment programs",Provides education/training/research as primary function
Professional & Business Services,Education & Training,Coaching & Training,20,24,0.5%,0.5%,"Executive coaching, leadership development, professional training, personal development","Executive coaches, leadership trainers, life coaches, professional development firms, business coaching",DISTINCT from Strategy & Management Consulting (which advises on business operations). Coaching focuses on personal/professional development of individuals.
Professional & Business Services,Non-profit & Government,Non-profit & Charitable Organizations,0,123,2.6%,0.0%,"Non-profit organizations, charities, foundations, and community service organizations","Charities, foundations, civic organizations, community resource centers, advocacy groups","V7: Split from Non-profit, Government & Religious (144). Non-commercial organizations funded by donations/grants"
Professional & Business Services,Non-profit & Government,Government & Public Sector,0,3,0.1%,0.0%,"Government agencies, public sector entities, and quasi-governmental organizations","Government agencies, public utilities, municipal services, public safety departments","V7: Split from Non-profit, Government & Religious (144). Tax-funded public entities"
Professional & Business Services,Non-profit & Government,Religious Organizations,0,49,1.0%,0.0%,"Churches, temples, mosques, synagogues, religious ministries, and faith-based organizations","Churches, temples, religious ministries, faith-based non-profits, ministry support organizations","V7: Split from Non-profit, Government & Religious (144). Faith-based organizations"
Professional & Business Services,Financial & Insurance Services,Financial & Insurance Services,36,37,0.8%,0.9%,"Financial services, insurance, surety bonds, and investment firms","Insurance agencies, financial advisors, investment firms, mortgage brokers, credit unions, surety bond providers",Financial products/services. Accounting → Accounting & Bookkeeping (separate)
Professional & Business Services,Financial & Insurance Services,Fintech & Payment Processing,5,6,0.1%,0.1%,"Payment processing, credit card processing, digital payments, financial technology","Payment processors, merchant services, POS system providers, digital wallet providers",Technology-enabled financial services. Traditional banking/insurance → Financial & Insurance Services
Professional & Business Services,Staffing & HR Services,Staffing & HR Services,15,23,0.5%,0.4%,"Staffing agencies, recruiters, and HR service providers","Staffing agencies, recruiters, HR consultants, PEOs, temp agencies, healthcare staffing",Provides labor/HR services
Retail & Consumer,Consumer Retail,General Consumer Retail,26,14,0.3%,0.7%,Retail stores selling general consumer merchandise,"Gift shops, general stores, online retailers, thrift stores, convenience stores",B2C retail. If primarily B2B wholesale → MWD > appropriate distribution L3
Retail & Consumer,Consumer Retail,Specialty Retail,188,213,4.4%,4.8%,Niche retail serving specific consumer segments (INVESTIGATE for V7 sub-splits),"Hobby shops, book stores, music stores, craft supply retail, home decor retail, mobility equipment retail","Distinct consumer niche. V7 TODO: Cluster analysis to identify sub-splits where groups have 15+ accounts. Apply storefront test: if B2C with storefront → here. If B2B → MWD. Mobility equipment (stairlifts, wheelchairs sold B2C) → here. Equipment HIRE/rental businesses with consumer-facing yard → here."
Retail & Consumer,Food & Beverage Retail / Hospitality,Food & Beverage Retail,19,24,0.5%,0.5%,"Restaurants, cafes, bakeries (retail), coffee shops with cafes, and food service establishments","Restaurants, cafes, retail bakeries, food trucks, catering, juice bars, coffee retailers with cafes","Sells food/beverage to consumers. Storefront test: company with cafes/retail locations → here (e.g., Irving Farm). Food manufacturing (wholesale) → MWD"
Retail & Consumer,Food & Beverage Retail / Hospitality,Hospitality & Tourism,16,24,0.5%,0.4%,"Hotels, lodging, tourism, and travel services","Hotels, B&Bs, travel agencies, tour operators, resorts, vacation rentals",Hospitality and travel experiences
Retail & Consumer,Automotive Services & Retail,Automotive Services & Retail,17,36,0.8%,0.4%,"Auto repair shops, dealerships, vehicle dealers, and automotive retail","Auto repair, tire shops, car dealerships, auto body, oil change, car wash, electric vehicle dealers","Customer-facing automotive. Authorized vehicle dealers (including EV) → here. Automotive parts wholesale → MWD > Automotive Parts Distribution. Includes repair shops where customer brings vehicle in (auto body, tire shop, oil change)."
Retail & Consumer,Pet Services & Products,Pet Services & Products,25,25,0.5%,0.6%,Pet care services and pet product retail,"Pet grooming, dog walking, pet stores, veterinary retail, pet boarding, pet training, natural pet products",Consumer-facing pet businesses. Veterinary medical practice → PBS > Healthcare & Medical Services
Retail & Consumer,Personal Care & Recreation,Personal Care & Wellness,7,9,0.2%,0.2%,"Personal care, wellness, fitness, and beauty services","Salons, spas, gyms, yoga studios, massage therapy, barber shops",Consumer wellness/beauty services
Retail & Consumer,Personal Care & Recreation,Sports & Recreation,10,10,0.2%,0.3%,"Sports, recreation, and entertainment retail/services","Sports equipment retail, recreation centers, bowling alleys, golf courses, fitness equipment",Consumer sports/rec. Sports merchandise wholesale → MWD > Consumer Goods Distribution
Retail & Consumer,Events & Entertainment,Events & Entertainment,28,34,0.7%,0.7%,"Event planning, entertainment services, and venues","Event planners, DJs, wedding venues, party rentals, entertainment companies, performers",Event and entertainment services
Retail & Consumer,Agriculture & Farming,Agriculture & Farming,20,34,0.7%,0.5%,"Farms, ranches, nurseries, and agricultural operations","Farms, ranches, nurseries, garden centers, agricultural co-ops, farm stands",Agricultural production or direct-to-consumer farm sales. Farm equipment mfg → MWD
UNCLASSIFIABLE,UNCLASSIFIABLE,UNCLASSIFIABLE,,151,3.1%,,Insufficient data to classify confidently,"Accounts with no website content, no self-selection, and no enrichment data","Use when description is name-only and no corroborating signals exist. Per UNCLASSIFIABLE re-review (Apr 30, 2026): prefer this over over-classifying on weak evidence."
